################################################################################################################################
Constituency code, 		34
Constituency, 			Afzalpur
----------------------------------------------------
CHIMMANAKATTI BALAPPA BHIMAPPA                  Indian National Congress                                57446     
MAHANTESH GURUPADAPPA MAMADAPUR                 Janata Dal  (Secular)                                   42333     
MAHAGUNDAPPA KALLAPPA PATTANASHETTI             Bharatiya Janata Party                                  30310     
BASAYYA PRABAYYA HALLUR                         Karnataka Jantha Paksha                                 3095      
M S PATIL                                       Badavara Shramikara Raitara Congress Party              1807      
KANTICHANDRA JYOTHI                             Bahujan Samaj Party                                     1616      
DAYANAND SRIDHARRAO KULKARNI                    Independent                                             1456      
MARUTI JAMINDAR                                 Janata Dal  (United)                                    1008      
################################################################################################################################
Constituency code, 		24
Constituency, 			Bagalkot
----------------------------------------------------
Candiate                                        Party                                                   Votes     
METI HULLAPPA YAMANAPPA                         Indian National Congress                                68216     
CHARANTIMATH VEERANNA CHANDRASHEKHARAYYA        Bharatiya Janata Party                                  65316     
PARASHURAM MANASING RATHOD                      Independent                                             1941      
BASAVARAJ SANGANAGOUDA PATIL (JAKKANAGOUDRA)    Janata Dal  (Secular)                                   1882      
PARASHURAM LAXMAN NEELANAYAK                    Welfare Party Of India                                  1559      
BABUSHA DASTGEERSAB ROLLI (R.D.BABU  JR.UPENDRA)Bahujan Samaj Party                                     1052      
################################################################################################################################
Constituency code, 		140
Constituency, 			Bagepalli
----------------------------------------------------
Candiate                                        Party                                                   Votes     
S.N SUBBAREDDY(CHINNAKAYALAPALLI)               Independent                                             66227     
SRIRAMAREDDY G.V                                Communist Party of India  (Marxist)                     35472     
HARINATHAREDDY                                  Janata Dal  (Secular)                                   16779     
N SAMPANGI                                      Indian National Congress                                15491     
R.N. RAGHUNATH REDDY                            Independent                                             2478      
VENKATARAVANA REDDY                             Independent                                             1666      
S.N SUBBAREDDY                                  Independent                                             1510      
K.A SRINATH                                     Independent                                             1184      
M NARAYANASWAMY                                 Bharatiya Janata Party                                  1084      
SUBBIREDDY                                      Independent                                             1074      
R. MUNIRAJU                                     Karnataka Jantha Paksha                                 965       
H.V. SHIVASHANKAR                               Badavara Shramikara Raitara Congress Party              793       
ASHWATHREDDY                                    Independent                                             646       
HARI. R                                         Independent                                             598       
SUBBAREDDY                                      Independent                                             565       
KESHAVAREDDY M.V                                Independent                                             558       
C. VENKATESH                                    Independent                                             446       
V NARASIMHAMURTHY                               Janata Dal  (United)                                    441       
P.A SATYANARAYANAREDDY                          Independent                                             439       
SUBHRAMANI                                      Independent                                             341       
BAVA FAKRUDDIN                                  Independent                                             339       
SUBBIREDDY                                      Independent                                             309       
KRISHNAPPA NAYAKA                               Bahujan Samaj Party                                     256       
M. JAVEED                                       Independent                                             255       
RAMANJANEYA                                     Independent                                             223       
VENKATASHIVAPPA                                 Independent                                             199       
BABU                                            Independent                                             160       
################################################################################################################################
Constituency code, 		16
Constituency, 			Bailhongal
----------------------------------------------------
Candiate                                        Party                                                   Votes     
VISHWANATH I PATIL                              Karnataka Jantha Paksha                                 40709     
JAGADISH @ VIRUPAXI CHANNAPPA METGUD            Bharatiya Janata Party                                  37088     
BASAVARAJ SHIVANAND KOUJALGI                    Indian National Congress                                36042     
SHANKAR B MADALAGI                              Janata Dal  (Secular)                                   9475      
MADHAV VENKATESH KULKARNI                       Independent                                             1746      
VITTAL SIDDAPPA HARIJAN                         Bahujan Samaj Party                                     975       
DAYANAND GURUPUTRAYYA CHIKKAMATH                Samajwadi Party                                         762       
################################################################################################################################
Constituency code, 		176
Constituency, 			Bangalore South
----------------------------------------------------
Candiate                                        Party                                                   Votes     
M. KRISHNAPPA                                   Bharatiya Janata Party                                  102207    
R. PRABHAKARA REDDY                             Janata Dal  (Secular)                                   72045     
DR.TEJASWINI GOWDA                              Indian National Congress                                63849     
JAGADISH REDDY                                  Karnataka Jantha Paksha                                 3936      
MURALI MOHAN                                    Independent                                             1975      
VASANTH                                         Bahujan Samaj Party                                     1363      
G.A. GREGORY                                    Independent                                             1347      
E KRISHNAPPA                                    Independent                                             1040      
A. CHOWARAPPA                                   Independent                                             691       
T.N KAMAL                                       Independent                                             639       
N.S. RAVICHANDRA                                Badavara Shramikara Raitara Congress Party              509       
K GURURAJ                                       Independent                                             407       
ASHISH KAPUR                                    Independent                                             394       
SUNDARAPPA                                      Janata Dal  (United)                                    335       
################################################################################################################################
Constituency code, 		147
Constituency, 			Bangarapet
----------------------------------------------------
Candiate                                        Party                                                   Votes     
S.N.NARAYANASWAMY.K.M                           Indian National Congress                                71570     
EM NARAYANASWAMY                                Bharatiya Janata Party                                  43193     
RAMACHANDRA                                     Janata Dal  (Secular)                                   22863     
SHESHU.V                                        Karnataka Jantha Paksha                                 1242      
SRINIVAS                                        Independent                                             850       
MANJUNATHA J.K                                  Lok Jan Shakti Party                                    470       
SRINATH.R.N                                     Independent                                             354       
VENKATESH.M. KALAVANCHI                         Badavara Shramikara Raitara Congress Party              280       
P.M RAMESHA                                     Independent                                             236       
K.V SAMPATH KUMAR                               Samajwadi Janata Party(Karnataka)                       179       
NAGENDRA.C                                      Independent                                             175       
K.V SUDARSHAN                                   Samajwadi Party                                         173       
MANJUNATHA.V                                    Independent                                             146       
Y.R.PRATHIBHA                                   Independent                                             127       
################################################################################################################################
Constituency code, 		205
Constituency, 			Bantval
----------------------------------------------------
Candiate                                        Party                                                   Votes     
B.RAMANATHA RAI                                 Indian National Congress                                81665     
RAJESH NAIK ULIPADY                             Bharatiya Janata Party                                  63815     
ADVOCATE ABDUL MAJID                            SOCIAL DEMOCRATIC PARTY OF INDIA                        6113      
KRISHNAPPA POOJARY KALLADKA                     Janata Dal  (Secular)                                   1927      
LOLAKSHA                                        Republican Party of India (A)                           1511      
